IdTweet,TweetText,TimeCreated,RetweetCount,FavoriteCount,Urls,medias,hashtags
1240016313881448449,"Do you want to analyze COVID-19 data in Python?

a)  Johns Hopkins CSSE dataset https://t.co/uSKsTyFYqD

b) COVID-1… https://t.co/NPnxLYGUtI",2020-03-17 20:45:02,71,155,"[{'url': 'https://t.co/uSKsTyFYqD', 'expanded_url': 'https://github.com/CSSEGISandData/COVID-19', 'display_url': 'github.com/CSSEGISandData…', 'indices': [80, 103]}, {'url': 'https://t.co/NPnxLYGUtI', 'expanded_url': 'https://twitter.com/i/web/status/1240016313881448449', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",,[]
1239637151970668552,"#pythontip by @ori75660:

Python and PayPal API, it is not that scary —
https://t.co/dGDrQq4wkw

Do you have a tip… https://t.co/sQ5knbcBot",2020-03-16 19:38:23,5,9,"[{'url': 'https://t.co/dGDrQq4wkw', 'expanded_url': 'https://dapythonista.com/2020/03/03/api-its-not-that-scary/', 'display_url': 'dapythonista.com/2020/03/03/api…', 'indices': [72, 95]}, {'url': 'https://t.co/sQ5knbcBot', 'expanded_url': 'https://twitter.com/i/web/status/1239637151970668552', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",,"[{'text': 'pythontip', 'indices': [0, 10]}]"
1238465351895171075,"Number of values that meet a condition:
(df.rating > 90).sum()
df.somecol.isnull().sum()

Proportion of values that… https://t.co/krabbeLuip",2020-03-13 14:02:04,12,73,"[{'url': 'https://t.co/krabbeLuip', 'expanded_url': 'https://twitter.com/i/web/status/1238465351895171075', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [120, 143]}]",,[]
1237862587586338816,"from pathlib import Path

file_path = ""/path/to/myfile.png""

file_name = Path(file_path).name  # myfile.png
file_st… https://t.co/kk0CEIYR5O",2020-03-11 22:06:53,25,95,"[{'url': 'https://t.co/kk0CEIYR5O', 'expanded_url': 'https://twitter.com/i/web/status/1237862587586338816', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",,[]
1237117902488305664,">>> numbers = ['9', '44', '8', '222']
>>> max(numbers)
'9'
>>> max(numbers, key=int)
'222'
#python",2020-03-09 20:47:47,21,123,[],,"[{'text': 'python', 'indices': [118, 125]}]"
1236802842901524481,"How to run Jupyter Notebook as a service (on Ubuntu 18.04)

https://t.co/NulO72AoKB

You can use this to run Jupyte… https://t.co/24Ul6lRMng",2020-03-08 23:55:51,3,25,"[{'url': 'https://t.co/NulO72AoKB', 'expanded_url': 'https://naysan.ca/2019/09/07/jupyter-notebook-as-a-service-on-ubuntu-18-04-with-python-3/', 'display_url': 'naysan.ca/2019/09/07/jup…', 'indices': [60, 83]}, {'url': 'https://t.co/24Ul6lRMng', 'expanded_url': 'https://twitter.com/i/web/status/1236802842901524481', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",,[]
1235551355038765056,Do you need to remove a column from `DataFrame` and store it separately? (for example to remove the target from tra… https://t.co/j25bFR8ZIN,2020-03-05 13:02:53,18,95,"[{'url': 'https://t.co/j25bFR8ZIN', 'expanded_url': 'https://twitter.com/i/web/status/1235551355038765056', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",,[]
1235282180710027265,"And this is why should use a sentinel value (like None) instead of a mutable default.

Workaround:

def f(x=None):… https://t.co/H38nS4dTQ2",2020-03-04 19:13:16,14,46,"[{'url': 'https://t.co/H38nS4dTQ2', 'expanded_url': 'https://twitter.com/i/web/status/1235282180710027265', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",,[]
1234963392621948928,"Have you ever wanted to build your own interactive Python or R course?

Try: https://t.co/qCo9rbS439

Examples:
spa… https://t.co/HTBQFwvfOW",2020-03-03 22:06:31,9,46,"[{'url': 'https://t.co/qCo9rbS439', 'expanded_url': 'https://github.com/ines/course-starter-python', 'display_url': 'github.com/ines/course-st…', 'indices': [77, 100]}, {'url': 'https://t.co/HTBQFwvfOW', 'expanded_url': 'https://twitter.com/i/web/status/1234963392621948928', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",,[]
1234491450492149760,"Great #pythontip from @mcbigcz: List multiplication multiply references, not objects.

>>> x = [[], [], [], []]
>>>… https://t.co/lNgfE2IWrb",2020-03-02 14:51:12,9,26,"[{'url': 'https://t.co/lNgfE2IWrb', 'expanded_url': 'https://twitter.com/i/web/status/1234491450492149760', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [135, 158]}]",,"[{'text': 'pythontip', 'indices': [6, 16]}]"
1234224117160857604,"Enable interactive features of #matplotlib plots in #jupyter notebook by adding 

%matplotlib widget… https://t.co/iWf11nSg61",2020-03-01 21:08:54,42,168,"[{'url': 'https://t.co/iWf11nSg61', 'expanded_url': 'https://twitter.com/i/web/status/1234224117160857604', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [102, 125]}]",,"[{'text': 'matplotlib', 'indices': [31, 42]}, {'text': 'jupyter', 'indices': [52, 60]}]"
1233423222940618755,">>> a = 1
>>> b = 2
>>> a, b = b, a
>>> a
2
>>> b
1

#python #tgif https://t.co/4Q4O70Dll0",2020-02-28 16:06:26,34,111,[],"[{'id': 1233423062219067393, 'id_str': '1233423062219067393', 'indices': [112, 135], 'media_url': 'http://pbs.twimg.com/media/ER3_vXlXkAEmf42.jpg', 'media_url_https': 'https://pbs.twimg.com/media/ER3_vXlXkAEmf42.jpg', 'url': 'https://t.co/4Q4O70Dll0', 'display_url': 'pic.twitter.com/4Q4O70Dll0', 'expanded_url': 'https://twitter.com/python_tip/status/1233423222940618755/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 300, 'h': 350, 'resize': 'fit'}, 'small': {'w': 300, 'h': 350, 'resize': 'fit'}, 'large': {'w': 300, 'h': 350, 'resize': 'fit'}}}]","[{'text': 'python', 'indices': [98, 105]}, {'text': 'tgif', 'indices': [106, 111]}]"
1232775052267065345,"D-Tale: visualize #pandas datastructures both in #jupyter notebook and #python terminal

https://t.co/iLq7cHAlYe

D… https://t.co/sMkrxrYlNd",2020-02-26 21:10:50,22,39,"[{'url': 'https://t.co/iLq7cHAlYe', 'expanded_url': 'https://github.com/man-group/dtale', 'display_url': 'github.com/man-group/dtale', 'indices': [89, 112]}, {'url': 'https://t.co/sMkrxrYlNd', 'expanded_url': 'https://twitter.com/i/web/status/1232775052267065345', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",,"[{'text': 'pandas', 'indices': [18, 25]}, {'text': 'jupyter', 'indices': [49, 57]}, {'text': 'python', 'indices': [71, 78]}]"
1232398937962749954,"Create blogposts directly from #jupyter notebook with #fastpages.
https://t.co/pPtum3uUoC

(tip by @HamelHusain)",2020-02-25 20:16:18,12,44,"[{'url': 'https://t.co/pPtum3uUoC', 'expanded_url': 'https://fastpages.fast.ai/fastpages/jupyter/2020/02/21/introducing-fastpages.html', 'display_url': 'fastpages.fast.ai/fastpages/jupy…', 'indices': [66, 89]}]",,"[{'text': 'jupyter', 'indices': [31, 39]}, {'text': 'fastpages', 'indices': [54, 64]}]"
1232062185586798593,"Calculate memory used by a #pandas dataframe:

df.memory_usage(deep=True).sum()",2020-02-24 21:58:10,33,94,[],,"[{'text': 'pandas', 'indices': [27, 34]}]"
